Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
1196	Visitor	1	0	8893	15	48	18	16	8893	25820	371	0	5	2	3	9	1	365	6	48	0	24	2	22	47	
1259	Staff	5	0	1028	18	3	18	20	1028	33410	13	0	5	2	1	11	1	365	15	46	3	19	4	20	47	
1231	Student	3	0	4754	17	10	18	29	4754	30449	89	0	5	2	3	9	1	365	9	49	5	20	2	22	47	
1270	Student	3	0	1266	17	60	18	21	1266	33144	24	0	6	2	3	9	1	365	18	45	2	20	3	20	47	
1222	Student	3	0	4573	17	7	18	23	4573	30355	86	0	12	3	1	3	1	654	7	47	3	19	3	22	47	
1278	Visitor	1	0	1683	17	58	18	26	1683	32997	70	0	4	2	6	7	1	386	19	46	2	21	3	20	47	
1195	Staff	5	0	8908	15	55	18	23	8908	26257	111	0	5	2	3	9	1	365	7	48	1	23	2	22	47	
1236	Staff	5	0	5478	16	55	18	26	5478	29513	68	0	5	2	4	8	1	365	15	45	3	18	2	22	47	
1295	Staff	5	0	112	8	0	8	0	0	-2993	0	0	0	0	0	0	2	672	2	0	0	0	0	0	47	
1207	Student	3	0	7243	16	23	18	24	7243	27772	136	0	4	2	4	9	1	386	17	44	2	18	2	22	47	
1156	Staff	5	0	12215	14	44	18	8	12215	22337	153	0	4	2	8	5	1	386	20	48	1	23	3	21	47	
1138	Student	3	0	13252	14	52	18	33	13252	22921	248	0	11	3	0	4	2	654	20	43	1	20	1	21	47	
1242	Faculty	2	0	4304	17	23	18	35	4304	31098	126	0	7	1	0	3	1	354	12	44	2	18	2	22	47	
1227	Staff	5	0	6962	16	42	18	38	6962	28828	87	0	7	1	0	3	1	354	15	41	4	12	3	22	47	
1223	Faculty	2	0	7684	16	42	18	50	7684	28865	224	0	3	2	0	13	1	386	14	41	4	12	3	22	47	
941	Prin	4	0	9022	8	0	8	0	0	-97	0	0	0	2	0	0	1	672	4	0	0	0	0	0	47	
1216	Visitor	1	0	7780	16	42	18	51	7780	28862	324	0	4	2	3	10	1	386	16	41	4	12	3	22	47	
1288	Visitor	1	0	1820	18	11	18	42	1820	33727	76	0	10	1	1	4	1	384	12	41	3	14	4	20	47	
1299	Faculty	2	0	198	18	46	18	50	198	35628	6	0	7	1	1	2	1	354	4	51	5	19	6	21	47	
1163	Student	3	0	14138	14	57	18	53	14138	23079	265	0	5	2	1	11	1	365	20	46	4	19	2	21	47	
1173	Student	3	0	12609	15	25	18	55	12609	24681	236	0	6	2	3	9	2	365	7	45	2	19	2	22	47	
1255	Faculty	2	0	5483	17	28	18	60	5483	31342	160	0	5	2	3	9	1	365	9	45	1	20	2	22	47	
1211	Student	3	0	9075	16	29	19	0	9075	28123	170	0	4	2	3	10	1	386	17	44	2	17	3	22	47	
1187	Student	3	0	12834	15	30	19	4	12834	24863	1193	847	9	1	1	4	1	384	6	46	2	20	2	22	47	
1252	Visitor	1	0	5702	17	44	19	19	5702	32327	238	0	11	3	1	3	1	654	16	43	0	22	1	20	49	
1240	Student	3	0	7248	17	13	19	14	7248	30557	136	0	10	1	1	4	1	384	9	49	6	19	2	22	49	
1305	Student	3	0	10550	8	0	8	0	0	-3237	0	0	0	0	0	0	2	672	6	0	0	0	0	0	49	
