Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
1018	Faculty	2	1	10397	10	29	13	22	10397	8912	303	0	6	2	3	9	1	365	13	47	2	19	5	21	23	
1119	Staff	5	1	9106	8	0	8	0	0	0	0	0	0	0	0	0	2	672	23	0	0	0	0	0	23	
1116	Student	3	1	12421	8	0	8	0	0	0	0	0	0	0	0	0	2	672	24	0	0	0	0	0	23	
1124	Faculty	2	1	9168	8	0	8	0	0	0	0	0	0	0	0	0	2	672	29	0	0	0	0	0	23	
1031	Faculty	2	1	9279	10	38	13	13	9279	9494	271	0	10	1	0	5	1	384	9	46	1	21	3	21	23	
1099	Student	3	1	1856	12	45	13	15	1856	17072	35	0	6	2	2	10	1	365	16	53	3	26	5	19	23	
1029	Staff	5	1	10624	10	28	13	25	10624	8857	133	0	8	1	0	3	1	354	15	47	2	19	5	21	23	
997	Student	3	1	11476	10	11	13	22	11476	7862	215	0	5	2	3	9	1	365	18	50	1	21	7	21	24	
1114	Student	3	1	1254	13	8	13	28	1254	18451	24	0	12	3	2	2	2	654	13	52	1	28	4	19	24	
1036	Staff	5	1	9629	10	53	13	34	9629	10387	120	0	5	2	4	8	2	365	12	50	3	23	3	21	24	
1044	Faculty	2	1	8444	11	9	13	30	8444	11352	246	0	9	1	0	5	1	384	7	49	1	22	5	21	27	
986	Staff	5	1	14611	9	38	13	41	14611	5876	183	0	0	4	10	1	1	672	10	57	3	26	7	21	27	
1074	Student	3	1	4973	12	0	13	23	4973	14418	93	0	10	1	1	4	1	384	6	57	5	27	5	20	27	
1059	Faculty	2	1	7841	11	32	13	43	7841	12711	229	0	5	2	2	10	1	365	2	54	7	21	6	20	27	
1134	Student	3	1	2586	8	0	8	0	0	0	0	0	0	0	0	0	2	672	31	0	0	0	0	0	27	
1133	Visitor	1	1	245	8	0	8	0	0	0	0	0	0	0	0	0	2	672	32	0	0	0	0	0	27	
1139	Student	3	1	10720	8	0	8	0	0	0	0	0	0	0	0	0	2	672	31	0	0	0	0	0	27	
1147	Student	3	1	12002	8	0	8	0	0	0	0	0	0	0	0	0	2	672	30	0	0	0	0	0	27	
1092	Staff	5	1	3916	12	34	13	40	3916	16455	49	0	10	1	1	4	1	384	13	56	3	27	6	20	27	
1086	Student	3	1	4970	12	34	13	57	4970	16455	93	0	0	4	9	2	1	672	14	56	3	27	6	20	30	
1129	Visitor	1	1	10116	8	0	8	0	0	0	0	0	0	0	0	0	2	672	30	0	0	0	0	0	31	
1093	Student	3	1	3955	12	42	13	48	3955	16921	74	0	12	3	2	2	1	654	16	52	2	26	5	19	31	
1137	Student	3	1	2693	8	0	8	0	0	0	0	0	0	0	0	0	2	672	28	0	0	0	0	0	31	
1064	Student	3	1	7782	11	41	13	50	7782	13235	146	0	11	3	2	2	1	654	1	55	7	23	5	20	31	
1162	Student	3	1	7525	8	0	8	0	0	0	0	0	0	0	0	0	2	672	30	0	0	0	0	0	32	
1163	Visitor	1	1	6232	8	0	8	0	0	0	0	0	0	0	0	0	2	672	29	0	0	0	0	0	32	
1143	Staff	5	1	12021	8	0	8	0	0	0	0	0	0	0	0	0	2	672	27	0	0	0	0	0	32	
1125	Visitor	1	1	1202	13	35	13	55	1202	20087	50	0	6	2	1	11	2	365	30	45	3	19	5	18	33	
1164	Student	3	1	12287	8	0	8	0	0	0	0	0	0	0	0	0	2	672	25	0	0	0	0	0	33	
1078	Student	3	1	5928	12	14	13	53	5928	15229	111	0	7	1	0	3	1	354	6	57	5	26	6	20	33	
1156	Student	3	1	14173	8	0	8	0	0	0	0	0	0	0	0	0	2	672	28	0	0	0	0	0	34	
1042	Student	3	1	10846	10	60	14	1	10846	10799	223	19	9	1	1	4	1	384	9	50	2	24	3	21	34	
1166	Student	3	1	11442	8	0	8	0	0	0	0	0	0	0	0	0	2	672	28	0	0	0	0	0	36	
1112	Visitor	1	1	3524	12	52	13	51	3524	17527	147	0	4	2	9	4	1	386	13	50	2	25	4	19	37	
1082	Student	3	1	3944	12	18	13	24	3944	15490	74	0	4	2	9	4	1	386	7	57	4	27	6	20	38	
1108	Student	3	1	4473	12	51	14	6	4473	17483	84	0	7	1	0	3	1	354	14	48	2	23	4	19	38	
1173	Visitor	1	1	3444	8	0	8	0	0	0	0	0	0	0	0	0	2	672	26	0	0	0	0	0	38	
1176	Staff	5	1	6796	8	0	8	0	0	0	0	0	0	0	0	0	2	672	29	0	0	0	0	0	38	
1183	Staff	5	1	45	14	7	14	7	45	21996	1	0	8	1	0	3	1	354	24	38	2	9	7	20	39	
1102	Student	3	1	4887	12	50	14	12	4887	17410	92	0	11	3	2	2	1	654	15	49	2	24	4	19	40	
1077	Visitor	1	1	7862	12	3	14	14	7862	14563	328	0	9	1	1	4	1	384	6	56	4	27	5	20	40	
1089	Student	3	1	6770	12	35	14	28	6770	16491	127	0	1	4	10	1	1	672	11	55	3	27	6	19	40	
1178	Student	3	1	712	8	0	8	0	0	0	0	0	0	0	0	0	2	672	29	0	0	0	0	0	40	
1188	Student	3	1	272	8	0	8	0	0	0	0	0	0	0	0	0	2	672	27	0	0	0	0	0	40	
1187	Faculty	2	1	5763	8	0	8	0	0	0	0	0	0	0	0	0	2	672	29	0	0	0	0	0	40	
1085	Faculty	2	1	6848	12	23	14	17	6848	15757	200	0	10	1	1	4	1	384	9	54	3	25	6	20	40	
1179	Staff	5	1	2855	8	0	8	0	0	0	0	0	0	0	0	0	2	672	29	0	0	0	0	0	40	
1141	Faculty	2	1	1397	13	38	14	1	1397	20269	41	0	4	2	1	12	1	386	28	42	3	16	5	18	40	
