Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
1283	Student	3	1	1455	8	0	8	0	0	0	0	0	0	0	0	0	2	672	6	0	0	0	0	0	54	
1217	Visitor	1	1	6831	15	24	17	18	6831	26620	285	0	7	1	0	3	2	354	29	37	1	14	2	20	54	
1263	Faculty	2	1	3735	16	17	17	19	3735	29804	109	0	10	1	0	5	1	384	15	35	2	10	1	22	55	
1199	Staff	5	1	9245	15	1	17	35	9245	25245	116	0	4	2	1	12	1	386	26	38	1	17	2	18	55	
1229	Staff	5	1	7080	15	25	17	23	7080	26725	89	0	6	2	0	12	1	365	27	36	1	13	2	20	55	
1221	Student	3	1	6904	15	32	17	27	6904	27092	129	0	6	2	0	12	1	365	27	34	1	11	2	20	55	
1116	Student	3	1	13487	13	43	17	28	13487	20598	253	0	3	2	5	8	1	386	23	50	2	24	6	18	55	
1271	Visitor	1	1	2843	16	37	17	24	2843	30990	118	0	6	2	1	11	2	365	10	38	2	11	3	22	55	
1302	Student	3	1	9479	8	0	8	0	0	0	0	0	0	0	0	0	2	672	11	0	0	0	0	0	55	
1215	Visitor	1	1	7731	15	22	17	31	7731	26533	322	0	8	1	0	3	2	354	31	36	1	14	2	19	55	
1303	Student	3	1	12027	8	0	8	0	0	0	0	0	0	0	0	0	2	672	11	0	0	0	0	0	55	
1195	Staff	5	1	9595	14	54	17	34	9595	24850	120	0	10	1	1	4	1	384	27	41	4	16	3	18	55	
1188	Visitor	1	1	10079	14	46	17	34	10079	24375	420	0	7	1	0	3	1	354	25	38	3	14	3	18	55	
1201	Student	3	1	8894	14	58	17	26	8894	25072	167	0	5	2	6	6	1	365	30	38	1	17	2	18	55	
1124	Staff	5	1	13383	13	54	17	37	13383	21223	167	0	3	2	2	11	1	386	22	46	2	20	6	18	55	
1203	Staff	5	1	7714	15	39	17	48	7714	27544	96	0	6	2	0	12	2	365	24	31	2	8	1	20	55	
1143	Student	3	1	13152	14	9	17	49	13152	22160	247	0	4	2	7	6	1	386	24	46	2	19	7	18	55	
1291	Faculty	2	1	2435	17	2	17	43	2435	32541	71	0	7	1	0	3	1	354	8	47	7	15	3	22	56	
1304	Student	3	1	1114	17	33	17	51	1114	34356	21	0	5	2	4	8	1	365	7	55	5	24	5	21	56	
1235	Student	3	1	7306	15	41	17	42	7306	27639	137	0	3	2	0	13	1	386	23	30	2	7	1	20	57	
1245	Faculty	2	1	7049	15	48	17	46	7049	28083	206	0	4	2	2	11	1	386	19	30	2	8	0	20	57	
1312	Staff	5	1	2267	8	0	8	0	0	0	0	0	0	0	0	0	2	672	4	0	0	0	0	0	57	
1314	Faculty	2	1	6417	8	0	8	0	0	0	0	0	0	0	0	0	2	672	3	0	0	0	0	0	57	
1309	Visitor	1	1	855	17	45	17	59	855	35074	36	0	7	1	1	2	1	354	7	55	4	25	5	21	57	
1198	Visitor	1	1	9135	15	35	18	7	9135	27312	381	0	6	2	0	12	2	365	24	33	2	9	2	20	57	
1289	Staff	5	1	3526	17	12	18	11	3526	33147	44	0	6	2	3	9	2	365	10	48	6	17	4	21	57	
1206	Faculty	2	1	10345	15	6	17	59	10345	25587	302	0	10	1	0	5	1	384	28	37	1	17	1	18	57	
1236	Visitor	1	1	7955	15	47	17	59	7955	28001	331	0	3	2	0	13	1	386	20	29	2	7	0	20	57	
1273	Faculty	2	1	4680	16	44	18	2	4680	31463	136	0	13	2	2	1	2	579	7	38	4	9	3	22	57	
1208	Staff	5	1	10829	14	60	18	0	10829	25185	135	0	5	2	4	8	1	365	28	37	1	16	2	18	57	
1157	Staff	5	1	13669	14	16	18	4	13669	22545	171	0	6	2	1	11	1	365	19	44	2	17	7	18	57	
1190	Faculty	2	1	10687	15	4	18	2	10687	25430	312	0	5	2	4	8	2	365	28	37	1	17	1	18	57	
1306	Staff	5	1	2565	17	31	18	13	2565	34234	32	0	7	1	0	3	1	354	8	54	4	24	5	21	57	
1213	Student	3	1	11195	15	14	18	21	11195	26038	210	0	5	2	3	9	1	365	31	40	3	16	2	19	57	
1196	Student	3	1	9229	15	43	18	17	9229	27772	173	0	12	3	1	3	2	654	20	29	2	6	1	20	57	
1177	Student	3	1	13034	14	48	18	25	13034	24474	244	0	4	2	0	13	1	386	27	39	4	14	3	18	57	
1166	Student	3	1	13308	14	37	18	19	13308	23845	250	0	12	3	1	3	1	654	19	42	5	16	3	18	57	
1240	Student	3	1	8627	16	2	18	26	8627	28935	162	0	3	2	1	12	1	386	13	33	2	9	2	20	57	
1234	Student	3	1	10663	15	33	18	31	10663	27176	200	0	3	2	2	11	1	386	25	33	1	10	2	20	57	
1237	Visitor	1	1	9809	15	50	18	33	9809	28184	409	0	3	2	0	13	1	386	19	31	3	8	0	20	57	
1248	Visitor	1	1	9747	15	44	18	27	9747	27865	406	0	9	1	0	5	1	384	20	29	2	6	1	20	57	
1313	Visitor	1	1	2668	17	44	18	29	2668	35043	111	0	10	1	0	5	1	384	8	55	4	25	5	21	57	
933	Prin	4	1	912	8	0	8	0	0	0	0	0	0	2	0	0	1	672	5	0	0	0	0	0	57	
1284	Student	3	1	5709	16	54	18	29	5709	32039	107	0	3	2	2	11	1	386	8	41	4	12	3	22	57	
1326	Student	3	1	938	18	19	18	35	938	37155	18	0	7	1	1	2	1	354	3	60	5	28	6	21	57	
1298	Staff	5	1	5037	17	14	18	38	5037	33221	63	0	9	1	2	3	1	384	8	48	6	17	4	21	57	
1262	Faculty	2	1	9685	16	8	18	50	9685	29309	282	0	4	2	1	12	1	386	15	34	3	8	2	21	57	
1216	Student	3	1	13048	15	22	18	59	13048	26507	245	0	5	2	3	9	1	365	31	36	1	14	2	19	57	
1323	Student	3	1	2139	18	14	18	49	2139	36827	40	0	5	2	4	8	1	365	5	61	5	30	5	21	57	
1299	Student	3	1	5324	17	23	18	51	5324	33756	100	0	10	1	2	3	1	384	6	49	5	18	5	21	57	
1256	Visitor	1	1	9846	16	29	19	13	9846	30559	410	0	5	2	2	10	2	365	14	36	2	10	2	22	57	
1311	Faculty	2	1	5664	17	40	19	15	5664	34821	165	0	5	2	3	9	1	365	11	54	3	25	5	21	57	
1315	Visitor	1	1	4926	17	44	19	6	4926	35033	205	0	6	2	6	6	1	365	9	55	4	25	5	21	57	
1269	Visitor	1	1	10034	16	39	19	27	10034	31167	418	0	6	2	1	11	2	365	8	38	2	11	3	22	57	
1339	Staff	5	1	76	19	17	19	18	76	40597	1	0	6	2	2	10	1	365	1	65	4	33	7	21	57	
1285	Student	3	1	9071	16	58	19	29	9071	32251	170	0	3	2	2	11	1	386	8	46	7	14	3	22	57	
1296	Student	3	1	7117	17	21	19	20	7117	33666	133	0	9	1	0	5	1	384	7	49	5	18	5	21	57	
1317	Staff	5	1	6130	17	52	19	34	6130	35527	77	0	6	2	5	7	1	365	5	56	3	27	5	21	57	
1307	Staff	5	1	6033	17	41	19	22	6033	34865	75	0	10	1	0	5	1	384	10	53	3	24	5	21	57	
1342	Student	3	1	616	19	16	19	26	616	40539	12	0	10	1	1	4	1	384	2	65	4	33	7	21	57	
1258	Student	3	1	10928	16	35	19	37	10928	30907	205	0	5	2	2	10	2	365	10	37	2	10	3	22	57	
1282	Staff	5	1	9432	17	2	19	39	9432	32527	118	0	4	2	4	9	1	386	9	47	7	15	3	22	57	
1274	Staff	5	1	10966	16	27	19	30	10966	30437	137	0	4	2	2	11	1	386	15	38	2	12	2	22	57	
1321	Faculty	2	1	4749	18	9	19	28	4749	36532	139	0	5	2	5	7	1	365	4	60	5	29	5	21	57	
1247	Student	3	1	14354	15	41	19	40	14354	27665	1850	1481	9	1	0	5	1	384	22	30	2	7	1	20	0	
1260	Student	3	1	13391	16	25	8	0	0	30287	0	0	5	2	3	9	2	365	16	39	2	13	2	22	0	
1288	Staff	5	1	13319	17	4	8	0	0	32625	0	0	0	4	10	1	1	672	7	47	7	15	4	21	0	
1297	Staff	5	1	12324	17	13	8	0	0	33153	0	0	11	3	2	2	1	654	9	48	6	17	4	21	0	
1301	Visitor	1	1	9608	17	25	8	0	0	33921	0	0	9	1	0	5	1	384	5	52	5	21	5	21	0	
1308	Student	3	1	8433	17	48	8	0	0	35254	0	0	10	1	0	5	1	384	7	55	4	25	5	21	0	
1316	Visitor	1	1	9714	18	6	8	0	0	36369	0	0	6	2	5	7	2	365	3	60	5	29	5	21	0	
1319	Staff	5	1	9452	17	50	8	0	0	35421	0	0	7	1	0	3	1	354	6	55	3	26	5	21	0	
1320	Visitor	1	1	7655	17	57	8	0	0	35816	0	0	6	2	4	8	1	365	4	54	3	25	5	21	0	
1324	Visitor	1	1	6745	18	14	8	0	0	36824	0	0	6	2	6	6	1	365	6	61	5	30	5	21	0	
1325	Faculty	2	1	6489	18	23	8	0	0	37409	0	0	8	1	2	1	1	354	2	60	4	28	7	21	0	
1327	Student	3	1	13029	18	17	8	0	0	37041	0	0	6	2	5	7	1	365	4	60	5	29	5	21	0	
1328	Student	3	1	9311	18	28	8	0	0	37704	0	0	5	2	4	8	1	365	1	63	5	30	7	21	0	
1330	Student	3	1	11514	18	36	8	0	0	38142	0	0	6	2	4	8	1	365	5	68	7	33	7	21	0	
1332	Student	3	1	7257	18	52	8	0	0	39130	0	0	6	2	2	10	1	365	5	65	6	31	7	21	0	
1333	Visitor	1	1	8641	19	8	8	0	0	40100	0	0	5	2	4	8	2	365	3	65	5	32	7	21	0	
1334	Student	3	1	8722	18	42	8	0	0	38547	0	0	7	1	0	3	1	354	4	66	6	32	7	21	0	
1335	Staff	5	1	14029	18	46	8	0	0	38738	0	0	7	1	0	3	1	354	4	65	6	31	7	21	0	
1336	Visitor	1	1	10639	19	5	8	0	0	39880	0	0	6	2	1	11	1	365	4	64	5	31	7	21	0	
1337	Visitor	1	1	8151	18	56	8	0	0	39387	0	0	5	2	3	9	1	365	4	65	6	31	7	21	0	
1338	Staff	5	1	8888	18	59	8	0	0	39561	0	0	10	1	2	3	1	384	3	63	5	30	7	21	0	
1341	Visitor	1	1	9529	19	2	8	0	0	39690	0	0	9	1	1	4	1	384	2	63	5	30	7	21	0	
1343	Student	3	1	8032	19	24	8	0	0	41024	0	0	0	4	9	2	1	672	2	65	4	34	7	20	0	
1345	Student	3	1	5453	19	11	8	0	0	40244	0	0	5	2	3	9	1	365	2	64	5	31	7	21	0	
1346	Faculty	2	1	3286	19	30	8	0	0	41415	0	0	10	1	2	3	1	384	3	68	5	36	7	20	0	
1347	Faculty	2	1	5951	19	34	8	0	0	41641	0	0	9	1	1	4	1	384	2	69	5	37	7	20	0	
1349	Visitor	1	1	8343	19	34	8	0	0	41658	0	0	5	2	5	7	1	365	1	69	5	37	7	20	0	
1350	Staff	5	1	12700	19	43	8	0	0	42161	0	0	5	2	5	7	1	365	2	71	5	39	7	20	0	
1351	Visitor	1	1	4599	19	41	8	0	0	42062	0	0	10	1	1	4	1	384	3	70	4	39	7	20	0	
1352	Student	3	1	12768	19	56	8	0	0	42945	0	0	5	2	3	9	1	365	7	66	3	36	7	20	0	
1353	Student	3	1	10753	19	47	8	0	0	42440	0	0	9	1	1	4	1	384	5	69	4	38	7	20	0	
1354	Visitor	1	1	6067	8	0	8	0	0	0	0	0	0	0	0	0	2	672	0	0	0	0	0	0	0	
1355	Faculty	2	1	5197	19	56	8	0	0	42957	0	0	9	1	0	5	1	384	6	66	3	36	7	20	0	
1356	Visitor	1	1	4764	19	59	8	0	0	43141	0	0	6	2	4	8	1	365	6	66	3	36	7	20	0	
1357	Student	3	1	10110	8	0	8	0	0	0	0	0	0	0	0	0	2	672	0	0	0	0	0	0	0	
1358	Faculty	2	1	8409	8	0	8	0	0	0	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
1359	Visitor	1	1	6314	8	0	8	0	0	0	0	0	0	0	0	0	2	672	0	0	0	0	0	0	0	
1360	Staff	5	1	10905	8	0	8	0	0	0	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
1361	Staff	5	1	9431	8	0	8	0	0	0	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
1362	Student	3	1	1766	8	0	8	0	0	0	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
1363	Student	3	1	4418	8	0	8	0	0	0	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
1364	Student	3	1	11662	8	0	8	0	0	0	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
1365	Staff	5	1	7050	8	0	8	0	0	0	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
1366	Faculty	2	1	2322	8	0	8	0	0	0	0	0	0	0	0	0	1	672	0	0	0	0	0	0	0	
