Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
932	Prin	4	0	4078	8	0	8	0	0	0	0	0	0	2	0	0	1	672	10	0	0	0	0	0	3	
1222	Student	3	0	6949	16	54	18	49	6949	32015	130	0	5	2	2	10	3	365	20	48	2	23	4	19	3	
1228	Student	3	0	9122	16	18	18	50	9122	29865	171	0	4	2	3	10	1	386	16	41	1	18	2	20	3	
1205	Staff	5	0	9933	15	30	18	16	9933	27000	124	0	4	2	1	12	1	386	24	38	2	14	1	21	3	
1298	Student	3	0	1812	18	21	18	52	1812	37283	34	0	3	2	2	11	1	386	15	32	2	10	3	17	3	
1244	Visitor	1	0	6181	17	9	18	52	6181	32936	258	0	6	2	0	12	1	365	21	46	2	20	5	19	3	
1269	Student	3	0	2397	17	50	18	30	2397	35421	45	0	3	2	3	10	1	386	17	39	0	17	2	20	3	
1286	Student	3	0	26	18	32	18	33	26	37946	0	0	4	2	2	11	3	386	11	35	3	13	1	18	3	
1241	Visitor	1	0	5637	17	10	18	44	5637	32978	235	0	5	2	2	10	1	365	21	46	3	19	5	19	3	
1250	Faculty	2	0	5409	17	26	18	57	5409	33983	158	0	6	2	1	11	1	365	19	45	8	16	1	20	3	
1239	Student	3	0	5546	17	13	18	45	5546	33168	104	0	6	2	1	11	2	365	21	49	4	21	5	19	3	
1231	Faculty	2	0	7968	16	33	18	45	7968	30755	232	0	3	2	6	7	1	386	16	44	4	18	2	20	3	
1233	Student	3	0	5715	17	13	18	48	5715	33154	107	0	3	2	9	4	4	386	22	49	4	21	5	19	3	
1256	Faculty	2	0	5520	17	29	19	1	5520	34122	161	0	4	2	3	10	1	386	18	46	7	17	2	20	3	
1294	Student	3	0	1773	18	27	18	56	1773	37599	33	0	4	2	0	13	2	386	14	31	2	10	1	18	3	
1176	Student	3	0	14195	15	8	19	5	14195	25699	266	0	6	2	2	10	2	365	28	42	3	16	3	20	3	
1280	Student	3	0	2607	18	26	19	10	2607	37575	49	0	3	2	2	11	3	386	15	32	2	11	1	18	3	
